,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime
9,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,OUG7,7,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,kusud,7,stimulusTest.ejs,55,EIV,Mon+Sep+19+2016+17%3A22%3A40+GMT-0400+(EDT)
10,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,OUG7,7,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,sab,8,stimulusTest2.ejs,7,EIV,Mon+Sep+19+2016+17%3A27%3A55+GMT-0400+(EDT)
11,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,OUG7,7,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,shap,9,stimulusTest2.ejs,18,EIV,Mon+Sep+19+2016+17%3A28%3A00+GMT-0400+(EDT)
12,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,OUG7,7,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,tikoz,10,stimulusTest.ejs,42,EIV,Mon+Sep+19+2016+17%3A28%3A08+GMT-0400+(EDT)
13,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,JAQ8,8,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A29%3A34+GMT-0400+(EDT)
14,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,XXT9,9,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A30%3A21+GMT-0400+(EDT)
15,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,XXT9,9,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,pen,4,stimulus.ejs,undefined,EIV,Mon+Sep+19+2016+17%3A30%3A24+GMT-0400+(EDT)
16,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,XXT9,9,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,kiv,5,stimulusTest2.ejs,30,EIV,Mon+Sep+19+2016+17%3A30%3A31+GMT-0400+(EDT)
17,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,WTW10,10,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A34%3A55+GMT-0400+(EDT)
18,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,WTW10,10,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,pen,4,stimulus.ejs,undefined,EIV,Mon+Sep+19+2016+17%3A34%3A58+GMT-0400+(EDT)
19,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A35%3A07+GMT-0400+(EDT)
20,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,pen,4,stimulus.ejs,undefined,EIV,Mon+Sep+19+2016+17%3A35%3A10+GMT-0400+(EDT)
21,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,zek,5,stimulusTest2.ejs,28,EIV,Mon+Sep+19+2016+17%3A35%3A16+GMT-0400+(EDT)
22,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,kos,6,stimulusTest2.ejs,25,EIV,Mon+Sep+19+2016+17%3A35%3A22+GMT-0400+(EDT)
23,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,piz,7,stimulusTest2.ejs,26,EIV,Mon+Sep+19+2016+17%3A35%3A29+GMT-0400+(EDT)
24,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,pip,8,stimulusTest2.ejs,9,EIV,Mon+Sep+19+2016+17%3A35%3A34+GMT-0400+(EDT)
25,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,vebut,9,stimulusTest.ejs,38,EIV,Mon+Sep+19+2016+17%3A35%3A39+GMT-0400+(EDT)
26,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,pisok,10,stimulusTest.ejs,57,EIV,Mon+Sep+19+2016+17%3A35%3A44+GMT-0400+(EDT)
27,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,kufis,11,stimulusTest.ejs,47,EIV,Mon+Sep+19+2016+17%3A35%3A48+GMT-0400+(EDT)
28,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,kosh,12,stimulusTest2.ejs,19,EIV,Mon+Sep+19+2016+17%3A35%3A55+GMT-0400+(EDT)
29,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,fikash,13,stimulusTest.ejs,56,EIV,Mon+Sep+19+2016+17%3A36%3A06+GMT-0400+(EDT)
30,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,bok,14,stimulusTest2.ejs,4,EIV,Mon+Sep+19+2016+17%3A36%3A10+GMT-0400+(EDT)
31,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,bakas,15,stimulusTest.ejs,62,EIV,Mon+Sep+19+2016+17%3A36%3A17+GMT-0400+(EDT)
32,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,tikoz,16,stimulusTest.ejs,40,EIV,Mon+Sep+19+2016+17%3A36%3A22+GMT-0400+(EDT)
33,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,kak,17,stimulusTest2.ejs,2,EIV,Mon+Sep+19+2016+17%3A36%3A30+GMT-0400+(EDT)
34,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,MZR11,11,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,bakas,shatoz,18,threeTrialsAgoTest.ejs,undefined,EIV,Mon+Sep+19+2016+17%3A36%3A34+GMT-0400+(EDT)
35,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,GUS12,12,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A37%3A55+GMT-0400+(EDT)
36,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,GUS12,12,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,pen,4,stimulus.ejs,undefined,EIV,Mon+Sep+19+2016+17%3A37%3A58+GMT-0400+(EDT)
37,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,GUS12,12,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,shes,5,stimulusTest2.ejs,28,EIV,Mon+Sep+19+2016+17%3A38%3A02+GMT-0400+(EDT)
38,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,WSE18,18,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D4,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A39%3A50+GMT-0400+(EDT)
39,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,WSE18,18,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue,pen,4,stimulus.ejs,undefined,EIV,Mon+Sep+19+2016+17%3A39%3A53+GMT-0400+(EDT)
40,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,ZJJ19,19,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D2,pharon,undefined,2,undefined,undefined,1,EIV,Thu+Sep+29+2016+01%3A34%3A27+GMT-0400+(EDT)
41,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,ZJJ19,19,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D2,Continue,pen,4,stimulus.ejs,undefined,EIV,Thu+Sep+29+2016+01%3A34%3A30+GMT-0400+(EDT)
42,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,ZJJ19,19,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D2,Continue,fosip,5,stimulusTest.ejs,52,EIV,Thu+Sep+29+2016+01%3A34%3A35+GMT-0400+(EDT)
43,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,ZJJ19,19,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D2,Continue,kiv,6,stimulusTest2.ejs,3,EIV,Thu+Sep+29+2016+01%3A34%3A39+GMT-0400+(EDT)
44,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,RJA20,20,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,pharon,undefined,2,undefined,undefined,1,EIV,Thu+Sep+29+2016+01%3A58%3A57+GMT-0400+(EDT)
45,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,RJA20,20,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,pen,4,stimulus.ejs,undefined,EIV,Thu+Sep+29+2016+01%3A58%3A59+GMT-0400+(EDT)
46,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,RJA20,20,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,shufik,5,stimulusTest2.ejs,51,EIV,Thu+Sep+29+2016+01%3A59%3A05+GMT-0400+(EDT)
47,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,VUF23,23,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,pharon,undefined,2,undefined,undefined,1,EIV,Thu+Sep+29+2016+09%3A16%3A02+GMT-0400+(EDT)
48,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,VUF23,23,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,pen,4,stimulus.ejs,undefined,EIV,Thu+Sep+29+2016+09%3A16%3A04+GMT-0400+(EDT)
49,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,NBC25,25,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,pen,1,stimulus.ejs,undefined,EIV,Thu+Sep+29+2016+12%3A43%3A38+GMT-0400+(EDT)
50,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,NBC25,25,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,shik,2,stimulusTest2.ejs,33,EIV,Thu+Sep+29+2016+12%3A43%3A46+GMT-0400+(EDT)
51,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,NBC25,25,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,kifak,3,stimulusTest.ejs,3,EIV,Thu+Sep+29+2016+12%3A43%3A59+GMT-0400+(EDT)
52,userCode,userFileName,experimentName,sourceurl,destination,place,year,sex,soundlike,lang,strategy,rule,deviceName,localTime
,NWZ26,26,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,demographics.csv,USA,none,none,dlfkj,dlfkj,none,dsflkj,EIV,Thu+Sep+29+2016+12%3A56%3A02+GMT-0400+(EDT)
53,userCode,userFileName,experimentName,sourceurl,destination,place,year,sex,soundlike,lang,strategy,rule,deviceName,localTime
,IZT27,27,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,demographics.csv,none,none,none,,,none,,EIV,Thu+Sep+29+2016+13%3A20%3A06+GMT-0400+(EDT)
54,userCode,userFileName,experimentName,sourceurl,destination,place,year,sex,soundlike,lang,strategy,rule,deviceName,localTime
,JKC28,28,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,demographics.csv,none,none,none,,,none,,EIV,Thu+Sep+29+2016+13%3A25%3A49+GMT-0400+(EDT)
55,userCode,userFileName,experimentName,sourceurl,destination,place,year,sex,soundlike,lang,strategy,rule,deviceName,localTime
,MKY29,29,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,demographics.csv,none,none,none,,,none,,EIV,Thu+Sep+29+2016+13%3A26%3A24+GMT-0400+(EDT)
56,userCode,userFileName,experimentName,sourceurl,destination,place,year,sex,soundlike,lang,strategy,rule,deviceName,localTime
,REB30,30,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,demographics.csv,none,none,none,,,none,,EIV,Thu+Sep+29+2016+13%3A27%3A03+GMT-0400+(EDT)
57,userCode,userFileName,experimentName,sourceurl,destination,place,year,sex,soundlike,lang,strategy,rule,deviceName,localTime
,SYK31,31,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,demographics.csv,none,none,none,,,none,,EIV,Thu+Sep+29+2016+13%3A36%3A37+GMT-0400+(EDT)
58,userCode,userFileName,experimentName,sourceurl,destination,place,year,sex,soundlike,lang,strategy,rule,deviceName,localTime
,CPZ32,32,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,demographics.csv,none,none,none,,,none,,EIV,Thu+Sep+29+2016+13%3A44%3A30+GMT-0400+(EDT)
59,userCode,userFileName,experimentName,sourceurl,destination,place,year,sex,soundlike,lang,strategy,rule,deviceName,localTime
,OVV33,33,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,demographics.csv,none,none,none,,,none,,EIV,Thu+Sep+29+2016+13%3A46%3A38+GMT-0400+(EDT)
60,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,JLG65,65,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,das,1,79,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A30%3A51+GMT-0600+(MDT)
61,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,JLG65,65,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,keb,2,110,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A30%3A54+GMT-0600+(MDT)
62,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,JLG65,65,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,tusud,3,99,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A30%3A57+GMT-0600+(MDT)
63,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,IME66,66,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,shufik,1,118,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A31%3A20+GMT-0600+(MDT)
64,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,IME66,66,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,zek,2,21,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A31%3A22+GMT-0600+(MDT)
65,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,IME66,66,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,fut,3,121,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A31%3A25+GMT-0600+(MDT)
66,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,IME66,66,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,bakas,4,2,stimulusTest.ejs,EIV,Sun+Oct+02+2016+15%3A31%3A30+GMT-0600+(MDT)
67,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,AAA73,73,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,zebuz,1,55,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A35%3A53+GMT-0600+(MDT)
68,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,AAA73,73,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,shobit,2,30,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A35%3A57+GMT-0600+(MDT)
69,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,AAA73,73,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,fut,3,40,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A36%3A03+GMT-0600+(MDT)
70,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,AAA73,73,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,tikub,4,25,stimulusTest2.ejs,EIV,Sun+Oct+02+2016+15%3A36%3A09+GMT-0600+(MDT)
71,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,YQI74,74,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,zoshib,1,79,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A23+GMT-0600+(MDT)
72,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,YQI74,74,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,pekiv,2,16,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A29+GMT-0600+(MDT)
73,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,YQI74,74,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,das,3,34,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A31+GMT-0600+(MDT)
74,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,REW75,75,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,fut,1,103,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A47+GMT-0600+(MDT)
75,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,REW75,75,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,dapus,2,21,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A48+GMT-0600+(MDT)
76,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
,REW75,75,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252Findex1.html,Continue,tob,3,94,stimulus.ejs,EIV,Sun+Oct+02+2016+15%3A40%3A48+GMT-0600+(MDT)
77,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,deviceName,localTime
